timestamp,marker nr,distance,angle
2019-04-23 11:16:21,init,init,init
2019-04-23 11:16:34,[3],0.2298160731479171,9.23058810622019
2019-04-23 11:16:35,[3],0.2079922533475963,5.11868821204868
2019-04-23 11:16:35,[3],0.20191453323227562,3.46603915627811
2019-04-23 11:16:35,[3],0.20983206678722865,1.2144163848532454
2019-04-23 11:16:35,[3],0.2107403319374804,0.7159381039643146
2019-04-23 11:16:35,[3],0.230913024779522,-1.2308390011036525
2019-04-23 11:16:35,[3],0.23541853955496952,-1.8002904304311942
2019-04-23 11:16:35,[3],0.22887087589006944,-6.239957232748173
2019-04-23 11:16:37,[1],1.544018152995562,21.45108315657538
2019-04-23 11:16:43,[4],0.24304786811462495,10.268394903429067
2019-04-23 11:16:43,[4],0.24200364909149266,10.589916628316738
2019-04-23 11:16:43,[4],0.24452836337226824,11.390736338066814
2019-04-23 11:16:43,[4],0.2456916761970744,11.755348089389672
2019-04-23 11:16:44,[4],0.24560576469322107,12.14169219771186
2019-04-23 11:16:44,[4],0.24452836337226824,12.50428972376102
2019-04-23 11:16:44,[4],0.24207973971945942,12.79815401058856
2019-04-23 11:16:44,[4],0.2398097491083193,13.113858868912555
2019-04-23 11:16:44,[4],0.2386809169037244,13.316386098565056
2019-04-23 11:16:44,[4],0.238625471626251,13.4512165539314
2019-04-23 11:16:44,[4],0.23745283354599178,13.585895403439228
2019-04-23 11:16:44,[4],0.23629164646088555,13.630754450184495
2019-04-23 11:16:44,[4],0.23623218866194226,13.653177591189444
2019-04-23 11:16:44,[4],0.2350831599114387,13.473673590374435
2019-04-23 11:16:44,[4],0.23394522015456007,13.316386098565056
2019-04-23 11:16:44,[4],0.2350831599114387,12.549543556446487
2019-04-23 11:16:44,[4],0.2350831599114387,12.481656857235182
2019-04-23 11:16:44,[4],0.2385642398541214,11.595947445505585
2019-04-23 11:16:48,[3],1.8439723832799602,19.32345958252473
2019-04-23 11:16:53,[1],1.8562067446562536,15.543003172483257
2019-04-23 11:17:01,[1],1.4733292887524072,15.741163048846806
2019-04-23 11:17:25,end,end,end
